Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1674.4786552660703
FDW14,OUT017,1387.163879153264
NCN55,OUT010,599.580857982104
FDQ58,OUT017,2515.4387743133457
FDY38,OUT027,5921.140336308141
FDH56,OUT046,1937.340319693572
FDL48,OUT018,657.5824697811132
FDC48,OUT027,2505.977964223713
FDN33,OUT045,1544.63285717886
FDA36,OUT017,3085.3560490264204
FDT44,OUT017,1971.327847257617
FDQ56,OUT045,1355.3347663733464
NCC54,OUT019,598.8185645389395
FDU11,OUT049,2054.521136821051
DRL59,OUT013,827.3595646383917
FDM24,OUT049,2439.967150962881
FDI57,OUT045,3065.109825890512
DRC12,OUT018,2934.513670344339
NCM42,OUT027,2871.3995924143383
FDA46,OUT010,495.3494429395773
FDA31,OUT013,2870.020041079678
NCJ31,OUT035,3769.979783349269
FDG52,OUT046,738.6732972377478
NCL19,OUT019,287.9024193560127
FDS10,OUT035,3028.809792785229
FDX22,OUT010,567.3026843091133
NCF19,OUT035,733.9514639812764
NCE06,OUT046,2573.864655611513
DRC27,OUT046,4003.775116103731
FDE21,OUT035,2024.669967222766
NCR42,OUT019,144.5621468053445
FDX51,OUT018,2897.172787614016
NCR06,OUT018,593.6226001159104
FDU31,OUT027,5675.751319471449
FDU59,OUT017,2579.3729003542176
FDR03,OUT027,5673.8146852710415
FDS49,OUT027,2400.8771404622016
FDD48,OUT010,283.6239293931876
NCF18,OUT017,3207.6875930078927
NCD43,OUT027,2862.510182804126
NCD54,OUT018,1897.722729313728
FDY19,OUT010,279.11395291158163
NCY54,OUT017,2904.6290538879007
NCL19,OUT018,2491.5261471950635
FDP23,OUT010,569.0032143316596
FDC26,OUT013,1760.9698004145998
FDR14,OUT010,153.33018571668978
NCS41,OUT035,3238.408698017227
FDF41,OUT035,3820.206417104731
FDU34,OUT046,2085.7453857222536
DRH11,OUT046,926.3441688482502
FDM03,OUT013,1675.3771894199194
FDS31,OUT017,3101.027447560262
FDJ20,OUT017,2010.351016784742
FDV44,OUT027,5400.531804891875
FDG02,OUT049,3081.888892279628
FDA09,OUT013,3009.028007403296
FDT04,OUT013,633.7014838649466
FDL58,OUT019,601.6337183420826
FDE52,OUT045,1409.2312995133132
FDW12,OUT035,2690.2307826038063
FDL51,OUT017,3707.02119842342
NCY42,OUT027,2882.671395651157
FDR07,OUT017,1605.3522301938765
FDN40,OUT045,2476.3912412596933
FDB35,OUT027,2665.857350916721
FDA22,OUT017,2577.8360727839085
NCL06,OUT046,4264.367090553294
FDI35,OUT013,3113.955318544561
NCW42,OUT045,3851.557177138241
NCX06,OUT049,2927.929399576956
FDC37,OUT027,2864.6724087742987
FDZ14,OUT018,1826.086390972536
DRG49,OUT049,4076.488925717715
NCG06,OUT045,4126.897620046029
DRC36,OUT045,2906.9837617829758
FDV21,OUT019,285.8789108797477
FDB53,OUT046,2560.76733511683
DRP47,OUT019,598.3348438292834
FDA14,OUT013,2639.804974005353
DRC24,OUT035,2590.252199963528
FDW21,OUT018,1531.5653040787993
NCH29,OUT046,1558.6279814645443
FDU58,OUT013,3124.226337562552
FDY27,OUT017,2906.029020121082
FDV56,OUT035,1712.7976873566663
FDT59,OUT046,3988.003261474465
FDB23,OUT046,3965.746793066467
FDR49,OUT045,759.4930565489026
FDB03,OUT010,600.3186649508976
FDN39,OUT045,2644.815716031501
FDX02,OUT027,5887.852777338591
FDQ16,OUT027,2864.6724087742987
FDU35,OUT018,1485.4565678056522
NCT29,OUT013,2062.396927244636
FDZ27,OUT046,771.0150821112659
FDN57,OUT017,2091.853244858495
FDA03,OUT018,2423.677736396386
FDZ36,OUT045,3129.1718278021604
NCU05,OUT013,1401.5465697808706
FDT39,OUT018,2332.51819882105
FDK60,OUT017,1574.8878075754562
FDZ25,OUT017,2714.616858564365
FDG12,OUT046,2117.3632566953343
DRB01,OUT019,467.2230660409079
NCC43,OUT027,5891.140336308141
FDX13,OUT019,570.233060178216
FDM22,OUT049,864.9373453933596
FDJ03,OUT027,1187.4750218750912
FDU14,OUT018,3548.355872739174
